host_s,frame,x_ticks,x_vel_ticks_s,theta_rad,theta_vel_rad_s,u,captured,running,rail_blocked
1.3512,801,0,0.0,-0.0015,0.195,0.0000,0,0,0
1.3512,802,0,0.0,-0.0031,0.132,0.0000,0,0,0
1.3512,803,0,0.0,-0.0077,0.066,0.0000,0,0,0
1.3512,804,0,0.0,-0.0046,0.033,0.0000,0,0,0
1.3713,805,0,0.0,-0.0061,-0.099,0.0000,0,0,0
1.3713,806,0,0.0,-0.0046,-0.088,0.0000,0,0,0
1.3713,807,0,0.0,-0.0046,0.033,0.0000,0,0,0
1.3714,808,0,0.0,-0.0031,0.055,0.0000,0,0,0
1.3915,809,0,0.0,-0.0046,0.066,0.0000,0,0,0
1.3915,810,0,0.0,-0.0031,0.071,0.0000,0,0,0
1.3915,811,0,0.0,-0.0107,-0.118,0.0000,0,0,0
1.3915,812,0,0.0,-0.0031,-0.059,0.0000,0,0,0
1.4116,813,0,0.0,-0.0015,0.047,0.0000,0,0,0
1.4117,814,0,0.0,-0.0046,-0.015,0.0000,0,0,0
1.4117,815,0,0.0,-0.0046,0.146,0.0000,0,0,0
1.4117,816,0,0.0,0.0046,0.247,0.0000,0,0,0
1.4318,817,0,0.0,-0.0046,0.054,0.0000,0,0,0
1.4318,818,0,0.0,-0.0031,0.062,0.0000,0,0,0
1.4318,819,0,0.0,-0.0031,0.066,0.0000,0,0,0
1.4318,820,0,0.0,-0.0015,-0.121,0.0000,0,0,0
1.4519,821,0,0.0,-0.0031,-0.022,0.0000,0,0,0
1.4520,822,0,0.0,0.0123,0.373,0.0000,0,0,0
1.4520,823,0,0.0,-0.0046,0.148,0.0000,0,0,0
1.4520,824,0,0.0,-0.0015,0.074,0.0000,0,0,0
1.4721,825,0,0.0,-0.0031,0.037,0.0000,0,0,0
1.4721,826,0,0.0,-0.0184,-0.749,0.0000,0,0,0
1.4721,827,0,0.0,-0.0031,-0.336,0.0000,0,0,0
1.4721,828,0,0.0,0.0031,-0.053,0.0000,0,0,0
1.4923,829,0,0.0,-0.0031,-0.026,0.0000,0,0,0
1.4924,830,0,0.0,-0.0046,0.332,0.0000,0,0,0
1.4924,831,0,0.0,-0.0046,0.128,0.0000,0,0,0
1.4924,832,0,0.0,0.0061,0.134,0.0000,0,0,0
1.5125,833,0,0.0,-0.0046,0.032,0.0000,0,0,0
1.5126,834,0,0.0,-0.0061,-0.019,0.0000,0,0,0
1.5126,835,0,0.0,-0.0061,-0.044,0.0000,0,0,0
1.5126,836,0,0.0,-0.0031,-0.252,0.0000,0,0,0
1.5327,837,0,0.0,-0.0031,-0.088,0.0000,0,0,0
1.5327,838,0,0.0,-0.0031,0.033,0.0000,0,0,0
1.5327,839,0,0.0,-0.0046,0.055,0.0000,0,0,0
1.5328,840,0,0.0,-0.0046,-0.011,0.0000,0,0,0
1.5529,841,0,0.0,-0.0061,-0.082,0.0000,0,0,0
1.5529,842,0,0.0,0.0077,0.227,0.0000,0,0,0
1.5529,843,0,0.0,-0.0046,0.114,0.0000,0,0,0
1.5529,844,0,0.0,-0.0031,0.095,0.0000,0,0,0
1.5730,845,0,0.0,-0.0046,0.086,0.0000,0,0,0
1.5730,846,0,0.0,-0.0031,-0.225,0.0000,0,0,0
1.5730,847,0,0.0,-0.0046,-0.113,0.0000,0,0,0
1.5932,848,0,0.0,-0.0031,-0.056,0.0000,0,0,0
1.5932,849,0,0.0,-0.0046,-0.028,0.0000,0,0,0
1.5932,850,0,0.0,-0.0046,-0.049,0.0000,0,0,0
1.5932,851,0,0.0,-0.0046,-0.024,0.0000,0,0,0
1.5932,852,0,0.0,-0.0031,-0.012,0.0000,0,0,0
1.6133,853,0,0.0,-0.0015,0.071,0.0000,0,0,0
1.6134,854,0,0.0,-0.0046,0.035,0.0000,0,0,0
1.6134,855,0,0.0,-0.0031,0.056,0.0000,0,0,0
1.6134,856,0,0.0,-0.0031,0.028,0.0000,0,0,0
1.6335,857,0,0.0,-0.0077,-0.139,0.0000,0,0,0
1.6335,858,0,0.0,-0.0046,-0.070,0.0000,0,0,0
1.6335,859,0,0.0,-0.0061,-0.112,0.0000,0,0,0
1.6335,860,0,0.0,-0.0031,-0.056,0.0000,0,0,0
1.6537,861,0,0.0,-0.0061,0.010,0.0000,0,0,0
1.6537,862,0,0.0,-0.0046,0.005,0.0000,0,0,0
1.6537,863,0,0.0,-0.0046,0.041,0.0000,0,0,0
1.6738,864,0,0.0,-0.0046,-0.014,0.0000,0,0,0
1.6738,865,0,0.0,-0.0061,-0.007,0.0000,0,0,0
1.6738,866,0,0.0,-0.0031,0.031,0.0000,0,0,0
1.6738,867,0,0.0,-0.0046,0.016,0.0000,0,0,0
1.6939,868,0,0.0,-0.0046,0.008,0.0000,0,0,0
1.6940,869,0,0.0,-0.0031,0.081,0.0000,0,0,0
1.6940,870,0,0.0,-0.0046,0.002,0.0000,0,0,0
1.6940,871,0,0.0,-0.0015,0.078,0.0000,0,0,0
1.7141,872,0,0.0,-0.0015,0.116,0.0000,0,0,0
1.7141,873,0,0.0,-0.0138,-0.211,0.0000,0,0,0
1.7141,874,0,0.0,-0.0061,-0.144,0.0000,0,0,0
1.7141,875,0,0.0,-0.0015,-0.072,0.0000,0,0,0
1.7343,876,0,0.0,-0.0031,-0.074,0.0000,0,0,0
1.7343,877,0,0.0,0.0000,0.308,0.0000,0,0,0
